phrase	frequency_per_million	word_count	register
i don't think we	876.3	4	informal
the thing is i	765.2	4	informal
you know what i	654.1	4	informal
to be honest i	543.2	4	informal
i think we should	432.1	4	informal
what you want to	321.4	4	informal
i see what you	298.3	4	informal
it's like a kind	287.2	4	informal
i get that you	276.1	4	informal
let me tell you	265.3	4	informal
sort of kind of	254.2	4	informal
i understand what you	243.1	4	neutral
what about you think	232.4	4	informal
can we do this	221.2	4	informal
could we do it	210.3	4	informal
how about we try	198.2	4	informal
what if we did	187.1	4	informal
why don't we do	176.3	4	informal
would you like to	165.2	4	formal
should we do this	154.1	4	informal
i see your point	143.4	4	neutral
you're right that we	132.3	4	informal
that's a fair point	121.2	4	informal
i appreciate that you	110.1	4	formal
i understand that we	98.3	4	neutral
i realize this is	87.2	4	neutral
given that we have	76.1	4	formal
to be clear i	65.3	4	formal
let me clarify what	54.2	4	formal
i didn't mean to	43.1	4	informal
what i mean is	32.4	4	informal
i'm not saying that	21.3	4	informal
it looks like we	189.6	4	informal
seems like we need	178.4	4	informal
from what i can	167.2	4	informal
i'm fairly confident we	156.1	4	neutral
which is why we	145.3	4	neutral
need to do something	134.2	4	neutral
have to be careful	123.1	4	neutral
going to be hard	112.3	4	informal
really at least try	101.2	4	informal
to some extent that	98.4	4	formal
which means we need	87.2	4	neutral
over the course of	76.1	4	formal
on the other hand	65.3	4	neutral
put it this way	54.2	4	informal
make it work somehow	43.1	4	informal
get the ball rolling	32.2	4	informal
i'm going to have	21.3	4	informal
as a matter of	198.4	4	formal
so that makes sense	187.2	4	informal
if we're being honest	176.1	4	informal
for the most part	165.3	4	formal
i know you're thinking	154.2	4	informal
that puts you in	143.1	4	informal
it's not about that	132.3	4	informal
do you think we	121.2	4	informal
what do you want	110.1	4	informal
